date,model_type,ev_portion,max_peak,charging_costs,carbon_emissions
2023-02-12,ccm,15%,1.6360646287913525,-6.897100059477773,-1.9388889619255671
2023-02-12,cem,15%,1.5173863655629638,-3.996923956144549,-4.882272183481479
2023-02-12,ps,30%,-0.2792208890929191,18.48329299503632,17.465650251125886
2023-02-12,ccm,30%,4.729832636691333,-7.560804352799261,-2.477259195843923
2023-02-12,cem,30%,3.832941295923388,-4.627255758694612,-5.668715256032144
2023-02-12,ps,50%,-0.3719483329384447,18.763204787331254,17.660305316610625
2023-02-12,ccm,50%,8.419557719618611,-7.982179044460719,-2.774947797773773
2023-02-12,cem,50%,7.303712720633013,-5.019282207289202,-6.094059851035627
2023-02-12,ps,80%,-0.8330107870594627,19.59033886530905,18.541727098670872
2023-02-12,ccm,80%,13.55704020328866,-7.861191040869639,-2.7145583071804205
2023-02-12,cem,80%,10.17282870269091,-4.87399342540926,-6.007763074200508
2023-02-12,ps,100%,-5.689547556836899,18.99591734222904,17.988961266416574
2023-02-12,ccm,100%,13.101163516476472,-7.861698236394041,-2.752194328890698
2023-02-12,cem,100%,7.682089528351391,-4.86388479841758,-6.01716594439346
2023-02-13,ps,15%,-6.183850635565314,3.931620733518268,9.46604690452348
2023-02-13,ccm,15%,-6.118444523724581,-17.869595558137416,-10.252865496308202
2023-02-13,cem,15%,-6.050660007135453,-16.69322307468659,-11.606278315664936
2023-02-13,ps,30%,-12.110071301245553,4.972969714913703,10.192551994406935
2023-02-13,ccm,30%,-11.825980392156865,-18.04302435933036,-10.50024394535345
2023-02-13,cem,30%,-11.712344028520723,-16.849739076157043,-11.876480408314046
2023-02-13,ps,50%,-18.941690212048012,-7.941784275427545,-3.43077820183821
2023-02-13,ccm,50%,-18.648856922681738,-18.39179295728571,-10.721942630244326
2023-02-13,cem,50%,-18.256357564860213,-17.20079138616515,-12.148444909064878
2023-02-13,ps,80%,-26.59346794105091,-6.6944174183566325,-2.335099851961602
2023-02-13,ccm,80%,-20.38615427561179,-18.363637387158345,-10.66818093292956
2023-02-13,cem,80%,-17.795663906206382,-17.141252174486844,-12.13125772569632
2023-02-13,ps,100%,-31.447688564471505,-6.150823459699967,-1.8666239481084903
2023-02-13,ccm,100%,-18.027459158846025,-18.32331088458548,-10.654621396231128
2023-02-13,cem,100%,-15.250260688216894,-17.10885147672616,-12.098107256265866
2023-02-14,ps,15%,-7.092849062922871,-11.92005315149937,-10.094913961685574
2023-02-14,ccm,15%,-7.092849062949035,-17.77686268689308,-14.00203355738981
2023-02-14,cem,15%,-7.092849062949035,-17.125796592282033,-14.728355344048078
2023-02-14,ps,30%,-14.43092864784977,-11.824562261656054,-9.809092245796927
2023-02-14,ccm,30%,-8.788083572675562,-18.002157931666744,-14.157755329127312
2023-02-14,cem,30%,-9.200596947682603,-17.273718476231846,-14.997242664054236
2023-02-14,ps,50%,-22.11478833536163,-11.165805594613833,-9.125973107633143
2023-02-14,ccm,50%,-5.460481012012545,-18.338932570607767,-14.412578034498166
2023-02-14,cem,50%,-6.1809788568950985,-17.60309589850002,-15.355966731831211
2023-02-14,ps,80%,-26.536750818755365,-10.299827226333791,-8.347783793353294
2023-02-14,ccm,80%,-1.3453527282660531,-18.27345785766673,-14.388838603354268
2023-02-14,cem,80%,-1.9429078740695092,-17.560971050264126,-15.356042830098438
2023-02-14,ps,100%,-29.13483648498615,-9.929679537350408,-8.037351294323996
2023-02-14,ccm,100%,0.9668959270299136,-18.243172481412017,-14.340189155716246
2023-02-14,cem,100%,0.4771283822925449,-17.527647022621426,-15.306241706326023
2023-02-15,ps,15%,-7.163368017981281,-13.332736959942896,-8.619418547423791
2023-02-15,ccm,15%,-7.163368018031926,-17.97857804119403,-9.611243328089063
2023-02-15,cem,15%,-5.656590607342447,-15.58455507014915,-11.759466029118409
2023-02-15,ps,30%,-14.562968855981731,-13.409067180193556,-8.693869414741817
2023-02-15,ccm,30%,-8.061491248010908,-18.28939627247472,-9.872762106385776
2023-02-15,cem,30%,-3.1740168220049965,-15.823715278214957,-12.168403520815158
2023-02-15,ps,50%,-22.681101631226873,-12.424019767635924,-8.208229464407603
2023-02-15,ccm,50%,-4.775374803919043,-18.685557161022565,-10.1092934728685
2023-02-15,cem,50%,-0.3523028261372648,-16.175448857936217,-12.47859460699463
2023-02-15,ps,80%,-27.51779055308426,-11.06899223889934,-7.348073133482902
2023-02-15,ccm,80%,-0.658151214254588,-18.6262274323988,-10.018678443329748
2023-02-15,cem,80%,3.286169651661435,-16.089605449552643,-12.44038585474622
2023-02-15,ps,100%,-30.059910626748778,-10.464157880322327,-7.0037651647578425
2023-02-15,ccm,100%,1.681884219344854,-18.58789262532307,-10.029624502899589
2023-02-15,cem,100%,5.3298550355783245,-16.066022886580953,-12.412172351668788
2023-02-16,ps,15%,-0.0395163199412753,6.49061033489126,-3.549016319595287
2023-02-16,ccm,15%,2.361100134355489,-16.833114219199597,-21.223213032773277
2023-02-16,cem,15%,0.6618983640243421,-14.931981648971734,-22.974166634773617
2023-02-16,ps,30%,-0.0395163201287737,8.902541303171182,-0.4062507239508427
2023-02-16,ccm,30%,6.411522958982061,-17.40521320996325,-21.905723601594417
2023-02-16,cem,30%,1.7288390105113411,-15.55139926734688,-23.886707893027346
2023-02-16,ps,50%,-1.8507740658643492,10.695359690490651,2.175676741939684
2023-02-16,ccm,50%,9.44981181856981,-17.95964891968008,-22.64335561963656
2023-02-16,cem,50%,0.9622473130795688,-16.00285932974774,-24.582579013520675
2023-02-16,ps,80%,-18.101466636419943,-3.5879204606440895,-12.02006911212766
2023-02-16,ccm,80%,-1.3371321267847227,-17.90156421544708,-22.589735512122285
2023-02-16,cem,80%,-1.2351474730469012,-15.912920895964705,-24.480339525268967
2023-02-16,ps,100%,-27.652333080402276,-3.3786488451930143,-11.517404212510517
2023-02-16,ccm,100%,0.2345235882109074,-17.82946267245479,-22.4730779974714
2023-02-16,cem,100%,0.4676171545424749,-15.885193708036867,-24.400130976514163
2023-02-17,ps,15%,-15.209570329629685,-5.152472253075616,-14.134744637893917
2023-02-17,ccm,15%,-0.2954166544789248,-15.239442807119314,-17.69128460299964
2023-02-17,cem,15%,-15.209570329638275,-11.713862203751791,-24.549214089629984
2023-02-17,ps,30%,-27.271130646263515,-5.3143173097681435,-10.181863512875085
2023-02-17,ccm,30%,0.122933340024088,-16.72058776566188,-18.414469033830567
2023-02-17,cem,30%,-15.374194033969324,-13.339864664294886,-25.00680102386118
2023-02-17,ps,50%,-34.2312612459558,-5.518120708937686,-8.497050917307792
2023-02-17,ccm,50%,1.4844804318492928,-17.670225666817174,-18.996565866851142
2023-02-17,cem,50%,-9.183114035087335,-14.21534898004319,-25.555083545828737
